 Partition/offset;1;0;1/0
 Partition/offset;2;0;5/0
 Partition/offset;2;1;8/0
 Partition/offset;2;2;6/0
 Partition/offset;2;3;2/0
 Partition/offset;0;0;4/0
 Partition/offset;0;1;0/0
 Partition/offset;0;2;9/0
 Partition/offset;1;1;3/0
 Partition/offset;1;2;7/0
 Partition/offset;2;4;2/1
 Partition/offset;2;4;2/1
 Partition/offset;2;5;5/1
 Partition/offset;2;7;7/1
 Partition/offset;1;3;6/1
 Partition/offset;2;8;1/1
 Partition/offset;2;9;0/1
 Partition/offset;0;4;4/1
 Partition/offset;0;5;9/1
 Partition/offset;1;4;7/2
 Partition/offset;1;5;5/2
 Partition/offset;0;6;2/2
 Partition/offset;2;10;3/2
 Partition/offset;2;11;6/2
 Partition/offset;2;12;1/2
 Partition/offset;2;13;8/2
 Partition/offset;0;7;9/2
 Partition/offset;1;6;0/2
 Partition/offset;1;7;4/2
 Partition/offset;1;7;4/2
 Partition/offset;2;14;3/3
 Partition/offset;0;8;8/3
 Partition/offset;1;8;7/3
 Partition/offset;1;9;2/3
 Partition/offset;0;9;1/3
 Partition/offset;2;15;5/3
 Partition/offset;2;16;6/3
 Partition/offset;1;10;4/3
 Partition/offset;2;17;0/3
 Partition/offset;1;11;9/3
